user_id,user_age,has_children,num_trips,traveler_type,perk,group_color,money_spent_hotel,avg_km_flown,time_after_booking
531931,40,True,2,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,924.1785382528082,3201.9256331977776,9.781532702228974
229330,48,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,765.4339247072038,744.5789404048378,12.51404216360893
536035,29,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥,961.9221345251731,828.8779626503688,9.69791238154847
477730,46,False,5,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,1180.7574641020065,1553.603749393315,7.161058531756611
513030,39,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,741.461656319166,1086.9097246386327,13.524442172757075
570821,42,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,741.4657607627048,1678.0062718882932,4.363057165738518
517076,39,True,2,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,1194.8032038768479,2178.774533933217,9.01661483236761
585248,49,False,1,Dreamer,"Promo codes for first booking, inspiring collections",🟥,991.8586822882272,3755.7317294970767,9.875019929855997
539267,43,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥,682.631403516262,2018.2614419414463,10.047725975198894
611954,44,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,935.6400108964912,121.56143984561095,10.541488168234244
577541,35,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,684.1455767968845,4210.1017697427405,11.83131945942848
524607,37,False,5,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,683.5675616074358,1244.3647995774406,9.893777682863947
547266,56,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥,860.4905678915085,2411.919359343057,8.895825153568957
532119,53,True,6,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,321.6799388355505,3169.804760411067,8.777231966020913
545879,27,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,368.7705418717418,2799.415627604174,8.165452593884936
630176,53,True,1,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,659.4281176897568,4141.269321282213,12.362629972980596
517324,70,True,1,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,546.7922199163941,3218.5047150891382,8.060414561570456
539953,36,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥,878.5618331488184,1208.035630454338,12.540313327024734
565601,51,False,0,Dreamer,"Promo codes for first booking, inspiring collections",🟥,572.9939811196973,5767.843260987493,10.056997246779613
531109,50,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,446.92407466617715,2791.5001950073497,8.436235579431612
555478,30,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,1166.4121922303884,2278.9896600677407,11.855221647232405
521708,48,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,743.5559248783661,3945.888134583356,7.817638225830645
629952,46,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,816.882051171981,2874.1764188951083,11.914552122184638
520265,43,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,443.8129534466358,3098.842289408991,10.638178363575355
512831,45,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,663.9043188687043,6238.27599790103,8.211025932724239
527346,47,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,827.7306474274665,2087.31785761743,11.585904446003678
585492,46,True,1,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,512.2516056444242,2023.3586589739061,11.639769177065917
515516,35,False,0,Dreamer,"Promo codes for first booking, inspiring collections",🟥,893.924504586418,2674.8677680186956,13.472558817429874
553985,37,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,649.8403275202987,4107.273903371558,12.898441037227887
523395,33,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,727.0765625516808,240.19895471440122,11.473822062178849
528281,53,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,649.5733469426508,100.0,6.61722714637371
548872,21,True,0,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,1263.0695461272344,1619.3270940697787,17.34576096452217
454661,46,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,796.6256938155166,100.0,5.789151366784569
499461,52,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥,535.5722677610249,1862.7529787115423,12.847789522846927
512193,38,False,1,Dreamer,"Promo codes for first booking, inspiring collections",🟥,1005.6362280257972,3253.7495441939354,11.293851450658895
510365,46,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,494.78908750724446,1163.8767046716046,6.477572882556656
556019,58,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,852.2158987511889,359.76013482798635,9.627097183364503
469824,52,True,2,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,310.08246903005613,2604.005742573022,9.763741341266078
494590,29,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,467.9534877753924,3793.8152269227553,13.916748147431571
559441,67,False,1,Senior Traveler,"Comfortable itineraries, early check-in, tour discounts",🟪,849.2153089672809,100.0,7.860067299159366
