user_id,user_age_x,has_children,num_trips,traveler_type,perk,group_color,money_spent_hotel,avg_km_flown,time_after_booking,num_sessions,total_page_clicks,avg_session_duration_min,num_flights_booked,num_hotels_booked,avg_flight_price,avg_hotel_price_per_night,avg_trip_nights,avg_total_discount,user_age_y,customer_age_months,num_users,avg_age,share_with_children,avg_spent_hotel,avg_km_flown_group_avg,avg_days_before_trip,avg_num_trips
531931,40,True,2,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,924.1785382528082,3201.9256331977776,9.781532702228974,8,75,1.18,2,2,944.15,135.5,2.5,,40,3,2429,42.5,1.0,800.3,2570.5,10.1,2.4
229330,48,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,765.4339247072038,744.5789404048378,12.51404216360893,8,129,1.99,4,4,387.03,209.25,1.5,,48,9,1541,43.8,0.0,807.2,2433.9,10.1,3.7
536035,29,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥,961.9221345251732,828.8779626503688,9.69791238154847,8,111,1.71,2,2,488.34,145.5,1.0,0.45,29,3,1704,37.9,0.0,795.8,2533.0,10.1,1.3
477730,46,False,5,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,1180.7574641020065,1553.603749393315,7.161058531756611,8,185,2.86,5,5,697.14,273.8,3.6,,46,4,1541,43.8,0.0,807.2,2433.9,10.1,3.7
513030,39,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,741.461656319166,1086.9097246386327,13.524442172757077,8,98,1.53,3,3,202.28,162.33,4.0,,39,3,2429,42.5,1.0,800.3,2570.5,10.1,2.4
570821,42,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,741.4657607627048,1678.0062718882932,4.363057165738518,8,95,1.47,3,3,482.62,119.33,2.7,,42,2,2429,42.5,1.0,800.3,2570.5,10.1,2.4
517076,39,True,2,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,1194.803203876848,2178.774533933217,9.01661483236761,8,210,3.28,2,5,459.09,154.0,6.8,0.2,39,3,2429,42.5,1.0,800.3,2570.5,10.1,2.4
585248,49,False,1,Dreamer,"Promo codes for first booking, inspiring collections",🟥,991.8586822882272,3755.7317294970767,9.875019929855997,8,88,1.36,1,1,394.55,121.0,1.0,,49,2,1704,37.9,0.0,795.8,2533.0,10.1,1.3
539267,43,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥,682.631403516262,2018.2614419414465,10.047725975198894,8,93,1.46,2,2,293.88,99.5,0.5,,43,3,1704,37.9,0.0,795.8,2533.0,10.1,1.3
611954,44,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,935.6400108964912,121.56143984561096,10.541488168234244,8,134,2.09,4,4,187.13,178.25,1.8,0.2,44,1,1541,43.8,0.0,807.2,2433.9,10.1,3.7
577541,35,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,684.1455767968845,4210.1017697427405,11.83131945942848,8,411,18.26,4,3,152.73,126.0,2.5,0.4,35,2,2429,42.5,1.0,800.3,2570.5,10.1,2.4
524607,37,False,5,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,683.5675616074358,1244.3647995774406,9.893777682863949,8,129,2.01,5,3,654.43,260.33,2.7,,37,3,1541,43.8,0.0,807.2,2433.9,10.1,3.7
547266,56,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥,860.4905678915085,2411.919359343057,8.895825153568957,8,120,1.84,2,3,490.98,218.67,2.0,,56,2,1704,37.9,0.0,795.8,2533.0,10.1,1.3
532119,53,True,6,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,321.6799388355505,3169.804760411067,8.777231966020913,8,155,2.41,6,5,555.76,176.0,3.8,,53,3,2429,42.5,1.0,800.3,2570.5,10.1,2.4
545879,27,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,368.7705418717418,2799.415627604174,8.165452593884936,8,176,9.26,4,4,902.81,187.25,9.3,0.1,27,2,2429,42.5,1.0,800.3,2570.5,10.1,2.4
630176,53,True,1,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,659.4281176897568,4141.269321282213,12.362629972980596,8,190,2.95,1,1,597.57,108.0,0.0,,53,1,2429,42.5,1.0,800.3,2570.5,10.1,2.4
517324,70,True,1,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,546.7922199163941,3218.5047150891382,8.060414561570456,8,164,2.54,1,0,472.44,,,,70,3,2429,42.5,1.0,800.3,2570.5,10.1,2.4
539953,36,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥,878.5618331488184,1208.035630454338,12.540313327024734,8,103,1.58,2,2,296.7,166.0,2.5,,36,3,1704,37.9,0.0,795.8,2533.0,10.1,1.3
565601,51,False,0,Dreamer,"Promo codes for first booking, inspiring collections",🟥,572.9939811196973,5767.843260987493,10.056997246779613,8,78,1.22,0,0,,,,,51,2,1704,37.9,0.0,795.8,2533.0,10.1,1.3
531109,50,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,446.9240746661772,2791.5001950073497,8.436235579431612,8,137,2.1,4,4,240.48,95.25,1.3,,50,3,2429,42.5,1.0,800.3,2570.5,10.1,2.4
555478,30,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,1166.4121922303884,2278.9896600677407,11.855221647232405,8,140,2.18,3,3,616.45,142.33,4.3,,30,2,1541,43.8,0.0,807.2,2433.9,10.1,3.7
521708,48,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,743.5559248783661,3945.888134583356,7.817638225830645,8,175,2.71,4,3,285.33,108.67,4.0,,48,3,2429,42.5,1.0,800.3,2570.5,10.1,2.4
629952,46,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,816.882051171981,2874.1764188951083,11.914552122184638,8,230,3.58,3,3,404.79,277.67,1.7,,46,1,2429,42.5,1.0,800.3,2570.5,10.1,2.4
520265,43,True,4,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,443.8129534466358,3098.842289408991,10.638178363575356,8,119,1.84,4,5,581.52,136.4,5.0,0.25,43,3,2429,42.5,1.0,800.3,2570.5,10.1,2.4
512831,45,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,663.9043188687043,6238.27599790103,8.211025932724239,8,114,1.75,3,2,760.11,289.5,2.0,0.35,45,3,1541,43.8,0.0,807.2,2433.9,10.1,3.7
527346,47,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,827.7306474274665,2087.31785761743,11.585904446003678,8,172,2.7,3,2,893.14,102.5,1.5,,47,3,1541,43.8,0.0,807.2,2433.9,10.1,3.7
585492,46,True,1,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,512.2516056444242,2023.358658973906,11.639769177065917,8,111,1.73,1,1,682.21,60.0,2.0,,46,2,2429,42.5,1.0,800.3,2570.5,10.1,2.4
515516,35,False,0,Dreamer,"Promo codes for first booking, inspiring collections",🟥,893.924504586418,2674.867768018696,13.472558817429874,8,127,1.96,0,0,,,,,35,3,1704,37.9,0.0,795.8,2533.0,10.1,1.3
553985,37,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,649.8403275202987,4107.273903371558,12.898441037227888,8,420,18.43,4,4,336.16,55.75,2.5,0.2,37,2,1541,43.8,0.0,807.2,2433.9,10.1,3.7
523395,33,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,727.0765625516808,240.1989547144012,11.473822062178847,8,174,2.64,3,3,442.26,300.33,2.7,,33,3,2429,42.5,1.0,800.3,2570.5,10.1,2.4
528281,53,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,649.5733469426508,100.0,6.61722714637371,8,118,1.85,3,5,634.63,133.4,4.0,,53,3,1541,43.8,0.0,807.2,2433.9,10.1,3.7
548872,21,True,0,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,1263.0695461272344,1619.3270940697787,17.34576096452217,8,162,2.53,0,1,,166.0,4.0,0.2,21,2,2429,42.5,1.0,800.3,2570.5,10.1,2.4
454661,46,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,796.6256938155166,100.0,5.789151366784569,8,127,1.98,3,3,356.58,213.0,1.3,,46,4,2429,42.5,1.0,800.3,2570.5,10.1,2.4
499461,52,False,2,Dreamer,"Promo codes for first booking, inspiring collections",🟥,535.5722677610249,1862.7529787115425,12.847789522846927,8,130,2.01,2,2,162.73,225.5,2.0,,52,3,1704,37.9,0.0,795.8,2533.0,10.1,1.3
512193,38,False,1,Dreamer,"Promo codes for first booking, inspiring collections",🟥,1005.6362280257972,3253.7495441939354,11.293851450658895,8,65,1.02,1,1,354.05,42.0,8.0,,38,3,1704,37.9,0.0,795.8,2533.0,10.1,1.3
510365,46,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,494.78908750724446,1163.8767046716046,6.477572882556656,8,102,1.59,4,4,537.26,195.0,4.3,,46,3,1541,43.8,0.0,807.2,2433.9,10.1,3.7
556019,58,True,3,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,852.2158987511889,359.76013482798635,9.627097183364503,9,126,1.76,3,3,267.28,125.67,2.7,0.15,58,2,2429,42.5,1.0,800.3,2570.5,10.1,2.4
469824,52,True,2,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,310.08246903005613,2604.005742573022,9.763741341266078,8,146,2.25,2,3,95.13,87.0,5.0,0.15,52,4,2429,42.5,1.0,800.3,2570.5,10.1,2.4
494590,29,False,3,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,467.9534877753924,3793.8152269227553,13.916748147431573,8,120,1.88,3,4,204.58,259.75,3.8,0.35,29,3,1541,43.8,0.0,807.2,2433.9,10.1,3.7
559441,67,False,1,Senior Traveler,"Comfortable itineraries, early check-in, tour discounts",🟪,849.2153089672809,100.0,7.860067299159366,9,118,1.61,1,1,165.17,151.0,3.0,,67,2,229,68.2,0.0,790.6,2514.8,10.1,0.9
522276,48,True,2,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,984.6166449988526,3730.348597458976,9.214164980726938,8,85,1.33,2,2,1526.89,326.5,1.5,,48,3,2429,42.5,1.0,800.3,2570.5,10.1,2.4
651491,43,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,842.8420702974927,3725.959305607489,2.9917911849362118,8,394,17.99,4,6,174.15,111.33,4.8,0.1,44,1,1541,43.8,0.0,807.2,2433.9,10.1,3.7
539493,18,True,0,Family Traveler,"Discounts on family rooms, kids' activities, transfers",🟧,771.0879294029398,3931.127653234942,15.20428837937073,9,140,1.94,0,0,,,,,18,3,2429,42.5,1.0,800.3,2570.5,10.1,2.4
529602,46,False,4,Young Frequent Traveler,"Personal recommendations, bonus miles",🟩,724.7240761026778,4327.720322307529,6.788595270939787,8,371,17.67,4,3,4418.06,215.5,6.5,,46,3,1541,43.8,0.0,807.2,2433.9,10.1,3.7
